question,answer
How would you describe Navigation Toolbar?,Components of the Navigation Toolbar do not appear with the Modern theme.
How would you describe theme?,Components of the Navigation Toolbar do not appear with the Modern theme.
How would you describe Pop?,Pop up window blocking
Could you explain window blocking?,Pop up window blocking
What can you tell me about Theme changes?,Theme changes will take effect when you restart _Mozilla_.
Could you explain effect?,Theme changes will take effect when you restart _Mozilla_.
What does it mean when _Mozilla_?,Theme changes will take effect when you restart _Mozilla_.
What can you tell me about Need?,Need large icons for the Options menu
How would you describe icons?,Need large icons for the Options menu
What does it mean when Options menu?,Need large icons for the Options menu
What does it mean when images?,Enable images cannot be used to disable the display of images.
Could you explain display?,Enable images cannot be used to disable the display of images.
What can you tell me about images?,Enable images cannot be used to disable the display of images.
How would you describe bookmark tree jumps?,The bookmark tree jumps unexpectedly to the bottom of its view when the the first visible row is not the first one
Could you explain bottom?,The bookmark tree jumps unexpectedly to the bottom of its view when the the first visible row is not the first one
Could you explain view?,The bookmark tree jumps unexpectedly to the bottom of its view when the the first visible row is not the first one
What can you tell me about row?,The bookmark tree jumps unexpectedly to the bottom of its view when the the first visible row is not the first one
What can you tell me about one?,The bookmark tree jumps unexpectedly to the bottom of its view when the the first visible row is not the first one
What does it mean when Move?,Move bookmarks transactions into a JS service (adding a bookmark leaks the Add Bookmark dialog)
How would you describe transactions?,Move bookmarks transactions into a JS service (adding a bookmark leaks the Add Bookmark dialog)
Could you explain JS service?,Move bookmarks transactions into a JS service (adding a bookmark leaks the Add Bookmark dialog)
Could you explain bookmark?,Move bookmarks transactions into a JS service (adding a bookmark leaks the Add Bookmark dialog)
What can you tell me about Add Bookmark dialog?,Move bookmarks transactions into a JS service (adding a bookmark leaks the Add Bookmark dialog)
Could you explain Shortcut Ctrl-Y?,Shortcut Ctrl-Y (redo) does not work in Bookmarks Manager
How would you describe redo?,Shortcut Ctrl-Y (redo) does not work in Bookmarks Manager
Could you explain Bookmarks Manager?,Shortcut Ctrl-Y (redo) does not work in Bookmarks Manager
How would you describe Eradicate?,Eradicate AddBookmarkImmediately
How would you describe selection?,Deleting a selection should select the next item
What can you tell me about item?,Deleting a selection should select the next item
What can you tell me about transaction manager?,transaction manager does not handle import
Could you explain import?,transaction manager does not handle import
What can you tell me about toolbar clears?,customize toolbar clears URL
What does it mean when % increase?,3.2% increase in Phoenix Ts after bookmark landing
How would you describe Phoenix Ts?,3.2% increase in Phoenix Ts after bookmark landing
What does it mean when bookmark landing?,3.2% increase in Phoenix Ts after bookmark landing
What can you tell me about folder?,cannot close folder with single click on twistie
What can you tell me about click?,cannot close folder with single click on twistie
What does it mean when twistie?,cannot close folder with single click on twistie
Could you explain Pref UI?,Pref UI to specify a proxy server for web navigation
What can you tell me about proxy server?,Pref UI to specify a proxy server for web navigation
Could you explain navigation?,Pref UI to specify a proxy server for web navigation
What does it mean when Implement?,Implement global Go menu
How would you describe Go menu?,Implement global Go menu
What can you tell me about Need?,Need tab loading icon
What can you tell me about icon?,Need tab loading icon
Could you explain Mozilla Firefox window?,first Mozilla Firefox window ignored by nsIWindowMediator
Could you explain nsIWindowMediator?,first Mozilla Firefox window ignored by nsIWindowMediator
What can you tell me about Phoenix window?,first Phoenix window ignored by nsIWindowMediator
What can you tell me about nsIWindowMediator?,first Phoenix window ignored by nsIWindowMediator
Could you explain preferences?,preferences no longer works
Could you explain works?,preferences no longer works
What does it mean when Personal Toolbar folder?,Open Personal Toolbar folder in toolbar
How would you describe toolbar?,Open Personal Toolbar folder in toolbar
What can you tell me about search?,"web search for """" in context menu don't work"
Could you explain menu?,"web search for """" in context menu don't work"
How would you describe Fix?,Fix full screen to have smaller icons
What can you tell me about screen?,Fix full screen to have smaller icons
What can you tell me about icons?,Fix full screen to have smaller icons
How would you describe Port patch?,Port patch to bug 164006 (wyciwyg: in tab titles)
What does it mean when wyciwyg?,Port patch to bug 164006 (wyciwyg: in tab titles)
Could you explain tab titles?,Port patch to bug 164006 (wyciwyg: in tab titles)
What can you tell me about [ cust ] Add?,[cust] Add more off-by-default toolbar buttons
What does it mean when toolbar buttons?,[cust] Add more off-by-default toolbar buttons
What can you tell me about textmode buttons?,textmode buttons need hover state
What can you tell me about state?,textmode buttons need hover state
What can you tell me about form control goodness?,enable nsITheme form control goodness for Phoenix
Could you explain Phoenix?,enable nsITheme form control goodness for Phoenix
Could you explain rename?,rename executable and profile dir
How would you describe dir?,rename executable and profile dir
What does it mean when Need?,Need to enable wallet (password manager manager manager)
What does it mean when wallet?,Need to enable wallet (password manager manager manager)
What can you tell me about manager manager manager?,Need to enable wallet (password manager manager manager)
How would you describe New Extension Manager?,New Extension Manager
Could you explain changes?,the changes to mozbrowser too confusing and too much
What does it mean when New Bookmark?,Cannot File > New Bookmark while managing a new folder
What can you tell me about folder?,Cannot File > New Bookmark while managing a new folder
Could you explain Bookmarks?,Bookmarks are not loaded if the Personal Toolbar is switched off
What can you tell me about Personal Toolbar?,Bookmarks are not loaded if the Personal Toolbar is switched off
How would you describe Pretty?,Pretty up dns error page a bit
What does it mean when error page?,Pretty up dns error page a bit
Could you explain bit?,Pretty up dns error page a bit
Could you explain click?,middle click (pt+bookmark menu) loads in the current tab + new tab
How would you describe menu?,middle click (pt+bookmark menu) loads in the current tab + new tab
How would you describe tab?,middle click (pt+bookmark menu) loads in the current tab + new tab
What does it mean when tab?,middle click (pt+bookmark menu) loads in the current tab + new tab
What does it mean when Sept displays page details?,Nightly for 22 Sept displays page details above window
What does it mean when window?,Nightly for 22 Sept displays page details above window
What can you tell me about Ctrl-W?,Ctrl-W does not close the current tab
What can you tell me about tab?,Ctrl-W does not close the current tab
What does it mean when listboxes?,listboxes and tree views don't support themes on winxp
What can you tell me about views?,listboxes and tree views don't support themes on winxp
How would you describe themes?,listboxes and tree views don't support themes on winxp
How would you describe winxp?,listboxes and tree views don't support themes on winxp
What does it mean when Ctrl+Mousewheel?,Ctrl+Mousewheel should resize text
What can you tell me about text?,Ctrl+Mousewheel should resize text
How would you describe bookmarks?,bookmarks should import Mozilla's bookmarks
What does it mean when Mozilla?,bookmarks should import Mozilla's bookmarks
What does it mean when bookmarks?,bookmarks should import Mozilla's bookmarks
Could you explain Please?,Please tell people to use a new profile.
Could you explain people?,Please tell people to use a new profile.
What does it mean when profile?,Please tell people to use a new profile.
What can you tell me about links?,combine links + toolbar
What can you tell me about toolbar?,combine links + toolbar
How would you describe File | Import?,File | Import ... does not work cannot import 4.x
What can you tell me about dialog weirdness?,About dialog weirdness
What can you tell me about menu?,Context menu doesn't appear when right clicking on disabled forward or back
What does it mean when clicking?,Context menu doesn't appear when right clicking on disabled forward or back
How would you describe forward?,Context menu doesn't appear when right clicking on disabled forward or back
What does it mean when back?,Context menu doesn't appear when right clicking on disabled forward or back
What does it mean when cookie details?,can't specify cookie details
How would you describe settings?,Proxy settings in prefs.js seem to be ignored...
How would you describe prefs.js?,Proxy settings in prefs.js seem to be ignored...
What can you tell me about web pages?,Incorrectly renders various web pages
What can you tell me about Window?,Window won't show completely
Could you explain Ca?,Can't change privacy settings
What does it mean when privacy settings?,Can't change privacy settings
Could you explain Moz ]?,"[Moz] Cannot set ""Imported IE Favorites"" to default personal toolbar folder"
How would you describe Imported IE Favorites?,"[Moz] Cannot set ""Imported IE Favorites"" to default personal toolbar folder"
Could you explain toolbar folder?,"[Moz] Cannot set ""Imported IE Favorites"" to default personal toolbar folder"
What does it mean when Need?,Need smaller throbber to use with small icons
What can you tell me about throbber?,Need smaller throbber to use with small icons
How would you describe icons?,Need smaller throbber to use with small icons
How would you describe Blank URL bar?,Blank URL bar after using Customize Toolbar
How would you describe Customize Toolbar?,Blank URL bar after using Customize Toolbar
What can you tell me about Mousewheel?,Mousewheel does not scroll web page
What can you tell me about web page?,Mousewheel does not scroll web page
What does it mean when ctrl+tab?,ctrl+tab should switch tabs in browser
What does it mean when tabs?,ctrl+tab should switch tabs in browser
What can you tell me about browser?,ctrl+tab should switch tabs in browser
What can you tell me about favicon.ico colors?,favicon.ico colors render improperly in tabs and URL bar
How would you describe tabs?,favicon.ico colors render improperly in tabs and URL bar
What can you tell me about URL bar?,favicon.ico colors render improperly in tabs and URL bar
Could you explain -remote openurl?,-remote openurl() opens Mozilla window if Mozilla is running
What can you tell me about Mozilla window?,-remote openurl() opens Mozilla window if Mozilla is running
What can you tell me about Mozilla?,-remote openurl() opens Mozilla window if Mozilla is running
How would you describe preferences?,make preferences resizable
How would you describe Scroll bar becomes?,Scroll bar becomes blank
What does it mean when addressbar?,fix addressbar dropdown icon for linux.
Could you explain icon?,fix addressbar dropdown icon for linux.
How would you describe linux?,fix addressbar dropdown icon for linux.
How would you describe Find?,"""Find Next"" button doesn't always respond to Enter"
How would you describe button?,"""Find Next"" button doesn't always respond to Enter"
How would you describe Ctrl+Mousewheel?,Ctrl+Mousewheel should cycle tabs
How would you describe cycle?,Ctrl+Mousewheel should cycle tabs
What does it mean when icon?,A new icon for Firebird
How would you describe Firebird?,A new icon for Firebird
What does it mean when Copy?,2nd Copy won't load with same profile
What can you tell me about profile?,2nd Copy won't load with same profile
How would you describe width?,width of table containing text being handled incorrectly (multiple screenwidths wide)
What can you tell me about text?,width of table containing text being handled incorrectly (multiple screenwidths wide)
How would you describe screenwidths?,width of table containing text being handled incorrectly (multiple screenwidths wide)
How would you describe exception?,"accessing ""navigator.cookieEnabled"" produces ""uncaught exception"""
How would you describe Need Mozilla Firebird newsgroup?,Need Mozilla Firebird newsgroup
Could you explain XUL preprocessor?,Revive XUL preprocessor
How would you describe Phoenix?,Phoenix needs talkback
What does it mean when talkback?,Phoenix needs talkback
What can you tell me about Navigation toolbar?,Navigation toolbar is completely blank
Could you explain Phoenix?,Phoenix refuses to start due missing libstdc++-libc6.2-2.so.3
What does it mean when libstdc++-libc6.2-2.so.3?,Phoenix refuses to start due missing libstdc++-libc6.2-2.so.3
How would you describe image?,restore image blocking in Phoenix
How would you describe Phoenix?,restore image blocking in Phoenix
How would you describe error?,error when dragging from empty area on personal toolbar to window
What does it mean when area?,error when dragging from empty area on personal toolbar to window
What does it mean when toolbar?,error when dragging from empty area on personal toolbar to window
What does it mean when bar?,no url bar back or forward buttons
Could you explain forward buttons?,no url bar back or forward buttons
How would you describe scroll bar button?,scroll bar button arrows magically move
How would you describe implement middle click paste?,implement middle click paste to load URL for Windows
Could you explain URL?,implement middle click paste to load URL for Windows
What does it mean when Windows?,implement middle click paste to load URL for Windows
How would you describe ie favorites?,auto-imported ie favorites (on every restart) do not resolve.
Could you explain restart?,auto-imported ie favorites (on every restart) do not resolve.
What can you tell me about URL toolbar?,URL toolbar missing off Phoenix nightly for 25 September
What does it mean when Phoenix?,URL toolbar missing off Phoenix nightly for 25 September
What can you tell me about September?,URL toolbar missing off Phoenix nightly for 25 September
What can you tell me about Cache?,Cache appears twice in preferences
Could you explain preferences?,Cache appears twice in preferences
What can you tell me about window?,Open new window (script) on onload doesn't work
Could you explain script?,Open new window (script) on onload doesn't work
What does it mean when onload?,Open new window (script) on onload doesn't work
How would you describe Ability?,Ability to set tabgroups as homepages
How would you describe tabgroups?,Ability to set tabgroups as homepages
What can you tell me about homepages?,Ability to set tabgroups as homepages
Could you explain wordwrap?,No wordwrap on news article pages
What does it mean when news article pages?,No wordwrap on news article pages
What does it mean when resume choice?,no resume choice in download manager
What can you tell me about download manager?,no resume choice in download manager
How would you describe mouse menu?,right mouse menu has open window in first position insetad of open new tab
Could you explain window?,right mouse menu has open window in first position insetad of open new tab
Could you explain position insetad?,right mouse menu has open window in first position insetad of open new tab
What can you tell me about tab?,right mouse menu has open window in first position insetad of open new tab
Could you explain Ca?,Can't import Mozilla bookmarks
What does it mean when Mozilla bookmarks?,Can't import Mozilla bookmarks
What does it mean when Bookmarks?,Bookmarks disappear after installation
What does it mean when installation?,Bookmarks disappear after installation
Could you explain Fix appearance?,Fix appearance of urlbar dropdown on Linux
What can you tell me about dropdown?,Fix appearance of urlbar dropdown on Linux
How would you describe Linux?,Fix appearance of urlbar dropdown on Linux
What can you tell me about Changes?,Changes to get os building
What does it mean when building?,Changes to get os building
What can you tell me about link?,Clicking on a targeted link opens a blank window
What can you tell me about blank window?,Clicking on a targeted link opens a blank window
What can you tell me about Blank Navigation Toolbar?,Blank Navigation Toolbar
What does it mean when toolbar resizable?,left tab toolbar resizable
How would you describe everything?,Do everything possible to minimize the build size
How would you describe build size?,Do everything possible to minimize the build size
What can you tell me about [ cust?,[cust] new toolbar customization features
Could you explain toolbar customization features?,[cust] new toolbar customization features
What does it mean when fixup?,fixup after dropping communicator.css
What does it mean when communicator.css?,fixup after dropping communicator.css
What does it mean when address bar?,address bar not showing up.
What can you tell me about [ cust?,[cust] No URL bar on tool bar stops bookmarks from loading
Could you explain URL bar?,[cust] No URL bar on tool bar stops bookmarks from loading
What can you tell me about tool bar stops bookmarks?,[cust] No URL bar on tool bar stops bookmarks from loading
What can you tell me about click?,middle click on a tab should close it
Could you explain tab?,middle click on a tab should close it
Could you explain tab?,closing a tab focuses the left tab
Could you explain left tab?,closing a tab focuses the left tab
What does it mean when Version number?,Version number is too low.
How would you describe bookmarks?,sorting bookmarks from the view menu has been broken for too long.
Could you explain view menu?,sorting bookmarks from the view menu has been broken for too long.
What can you tell me about File?,File -> Open Location does not open a dialog box.
What can you tell me about >?,File -> Open Location does not open a dialog box.
How would you describe Location?,File -> Open Location does not open a dialog box.
Could you explain dialog box?,File -> Open Location does not open a dialog box.
Could you explain error?,Trying to submit bug 171196 generated error.
Could you explain color mode?,256 color mode does strange things
Could you explain things?,256 color mode does strange things
Could you explain [ cust ] customize?,[cust] customize should be a dialog
How would you describe dialog?,[cust] customize should be a dialog
What can you tell me about [ cust ] represent?,[cust] represent all personal toolbar bookmarks with one item
Could you explain toolbar bookmarks?,[cust] represent all personal toolbar bookmarks with one item
How would you describe item?,[cust] represent all personal toolbar bookmarks with one item
What does it mean when [ cust ] text labels?,[cust] text labels for address field and search fields.
How would you describe field?,[cust] text labels for address field and search fields.
What does it mean when search fields?,[cust] text labels for address field and search fields.
How would you describe [ cust ] cancel?,[cust] cancel is buggy
What does it mean when Browser?,Browser is ignoring the attibute TITLE in TAG <img...
What can you tell me about TITLE?,Browser is ignoring the attibute TITLE in TAG <img...
What does it mean when TAG < img?,Browser is ignoring the attibute TITLE in TAG <img...
What can you tell me about button skips page?,Back button skips page if error
How would you describe error?,Back button skips page if error
What can you tell me about Phoenix icon?,Created what I think is a nice Phoenix icon.
What can you tell me about [ cust ]?,[cust] able to get two URLbars when customizing toolbars
Could you explain URLbars?,[cust] able to get two URLbars when customizing toolbars
What does it mean when toolbars?,[cust] able to get two URLbars when customizing toolbars
How would you describe [ cust ] Creating?,[cust] Creating a new toolbar with same name as standard toolbar should give an error
What can you tell me about toolbar?,[cust] Creating a new toolbar with same name as standard toolbar should give an error
What can you tell me about name?,[cust] Creating a new toolbar with same name as standard toolbar should give an error
What does it mean when toolbar?,[cust] Creating a new toolbar with same name as standard toolbar should give an error
Could you explain error?,[cust] Creating a new toolbar with same name as standard toolbar should give an error
What does it mean when Implement?,"Implement ""Use Bookmark"" menubutton in General prefs"
What does it mean when Use Bookmark?,"Implement ""Use Bookmark"" menubutton in General prefs"
What can you tell me about menubutton?,"Implement ""Use Bookmark"" menubutton in General prefs"
How would you describe General prefs?,"Implement ""Use Bookmark"" menubutton in General prefs"
Could you explain redesign?,redesign of how we expose bookmark groups / launching multiple tabs from bookmarks
Could you explain groups?,redesign of how we expose bookmark groups / launching multiple tabs from bookmarks
Could you explain tabs?,redesign of how we expose bookmark groups / launching multiple tabs from bookmarks
Could you explain bookmarks?,redesign of how we expose bookmark groups / launching multiple tabs from bookmarks
Could you explain icons?,use more userfriendly icons
What can you tell me about icons?,"showing ""icons&text"" shows reload and stop labels right to the buttons"
How would you describe text?,"showing ""icons&text"" shows reload and stop labels right to the buttons"
How would you describe shows reload?,"showing ""icons&text"" shows reload and stop labels right to the buttons"
What can you tell me about stop labels?,"showing ""icons&text"" shows reload and stop labels right to the buttons"
How would you describe buttons?,"showing ""icons&text"" shows reload and stop labels right to the buttons"
What can you tell me about toolbars urlbar?,after customizing toolbars urlbar is empty
What can you tell me about items?,removing all items from a toolbar deletes it
How would you describe toolbar?,removing all items from a toolbar deletes it
Could you explain [ cust ]?,[cust] When the URL text box is hidden
What can you tell me about URL text box?,[cust] When the URL text box is hidden
How would you describe [ cust?,[cust] You can make a toolbar button part of the URL bar inplace of the favicon.
What can you tell me about toolbar button part?,[cust] You can make a toolbar button part of the URL bar inplace of the favicon.
Could you explain URL bar inplace?,[cust] You can make a toolbar button part of the URL bar inplace of the favicon.
What can you tell me about favicon?,[cust] You can make a toolbar button part of the URL bar inplace of the favicon.
What can you tell me about Phoenix?,Phoenix won't start on Windows 9x
What does it mean when Windows?,Phoenix won't start on Windows 9x
How would you describe Add popup?,Add popup whitelisting
How would you describe > export shows?,file->export shows strange characters as file type
How would you describe characters?,file->export shows strange characters as file type
What does it mean when file type?,file->export shows strange characters as file type
How would you describe Ca?,Can't tab into urlbar autocomplete
What does it mean when autocomplete?,Can't tab into urlbar autocomplete
What does it mean when Edit?,Edit -> Preferences == Freeze
Could you explain > Preferences?,Edit -> Preferences == Freeze
What can you tell me about Freeze?,Edit -> Preferences == Freeze
Could you explain [ cust ] Customize toolbar windows?,[cust] Customize toolbar windows is incorrectly sized when using larger fonts
How would you describe fonts?,[cust] Customize toolbar windows is incorrectly sized when using larger fonts
How would you describe [ cust ]?,[cust] linux customize sheet comes up in the wrong place(s)
What can you tell me about sheet?,[cust] linux customize sheet comes up in the wrong place(s)
What does it mean when place?,[cust] linux customize sheet comes up in the wrong place(s)
What does it mean when s?,[cust] linux customize sheet comes up in the wrong place(s)
How would you describe address autocomplete?,new address autocomplete (satchel) no longer allows tabbing to popup
What can you tell me about satchel?,new address autocomplete (satchel) no longer allows tabbing to popup
Could you explain [ cust ] restore default set?,[cust] restore default set doesn't restore palette completely
What does it mean when palette?,[cust] restore default set doesn't restore palette completely
Could you explain dns error page?,when dns error page is presented and you click back button you go back 2 pages
Could you explain button?,when dns error page is presented and you click back button you go back 2 pages
Could you explain pages?,when dns error page is presented and you click back button you go back 2 pages
How would you describe middle-paste?,middle-paste of url in content area should load that page
What can you tell me about url?,middle-paste of url in content area should load that page
What does it mean when area?,middle-paste of url in content area should load that page
Could you explain page?,middle-paste of url in content area should load that page
How would you describe image files?,image files checked in without binary flag
What does it mean when flag?,image files checked in without binary flag
Could you explain view image?,view image opens new window
What can you tell me about window?,view image opens new window
How would you describe scripts?,scripts opens windows instead of tabs
Could you explain windows?,scripts opens windows instead of tabs
How would you describe tabs?,scripts opens windows instead of tabs
What can you tell me about ALT+F?,ALT+F is mapped to Find instead of File menu
What does it mean when Find?,ALT+F is mapped to Find instead of File menu
How would you describe File menu?,ALT+F is mapped to Find instead of File menu
What does it mean when Needs?,Needs to be more space between toolbarbuttons
What can you tell me about space?,Needs to be more space between toolbarbuttons
How would you describe toolbarbuttons?,Needs to be more space between toolbarbuttons
What does it mean when Mozilla Firefox?,"Mozilla Firefox creates a profile directory called ""Mozilla"""
What does it mean when directory?,"Mozilla Firefox creates a profile directory called ""Mozilla"""
How would you describe Mozilla?,"Mozilla Firefox creates a profile directory called ""Mozilla"""
What does it mean when Background?,Background of Go button should be transparent
What does it mean when Go button?,Background of Go button should be transparent
What can you tell me about Phoenix?,Phoenix fails to import Mozilla bookmarks
What does it mean when Mozilla bookmarks?,Phoenix fails to import Mozilla bookmarks
Could you explain Dropmarker?,Dropmarker doesn't depress in non-luna
Could you explain Autocomplete?,Autocomplete is broken in Homepage pref
How would you describe Homepage pref?,Autocomplete is broken in Homepage pref
What does it mean when toolbar search?,implement toolbar search in page
What does it mean when page?,implement toolbar search in page
What does it mean when Focus?,Focus is not on page after going to page via bookmark
What does it mean when page?,Focus is not on page after going to page via bookmark
What can you tell me about bookmark?,Focus is not on page after going to page via bookmark
What does it mean when Ctrl-click?,Ctrl-click should open bookmark in a new tab
What can you tell me about bookmark?,Ctrl-click should open bookmark in a new tab
What can you tell me about tab?,Ctrl-click should open bookmark in a new tab
What can you tell me about Implement work offline?,Implement work offline
How would you describe Add?,Add close button to sidebar
How would you describe Implement toolbar overflow?,Implement toolbar overflow
What can you tell me about Implement deletion?,Implement deletion of individual autocomplete results
How would you describe results?,Implement deletion of individual autocomplete results
What does it mean when Add dropmarker?,Add dropmarker to icon in search bar
What does it mean when search bar?,Add dropmarker to icon in search bar
How would you describe enter key?,enter key in the bookmark manager does not load the selected bookmark
What does it mean when bookmark manager?,enter key in the bookmark manager does not load the selected bookmark
Could you explain bookmark?,enter key in the bookmark manager does not load the selected bookmark
How would you describe icons?,icons for customize toolbar additions.
What does it mean when customize toolbar additions?,icons for customize toolbar additions.
What does it mean when Microsoft Web Outlook newsgroup?,Microsoft Web Outlook newsgroup posting will not allow reply to group
What can you tell me about reply?,Microsoft Web Outlook newsgroup posting will not allow reply to group
What can you tell me about group?,Microsoft Web Outlook newsgroup posting will not allow reply to group
How would you describe Download Manager?,Download Manager finishes large files prematurely
What can you tell me about files?,Download Manager finishes large files prematurely
How would you describe folder?,Unable to create a new folder when selecting first ADD BOOKMARK
What can you tell me about ADD BOOKMARK?,Unable to create a new folder when selecting first ADD BOOKMARK
What can you tell me about Add support?,Add support for a <toolbar> to the right of the menu bar
What does it mean when toolbar >?,Add support for a <toolbar> to the right of the menu bar
Could you explain right?,Add support for a <toolbar> to the right of the menu bar
What can you tell me about menu bar?,Add support for a <toolbar> to the right of the menu bar
What can you tell me about Phoenix?,Phoenix Quits When Attempting to Access MyCheckFree.Com
What does it mean when Access MyCheckFree.Com?,Phoenix Quits When Attempting to Access MyCheckFree.Com
How would you describe window?,Will not open new window to Download Creative drivers
What does it mean when Download Creative drivers?,Will not open new window to Download Creative drivers
Could you explain tweaking?,tweaking of the View menu
Could you explain View menu?,tweaking of the View menu
How would you describe mix?,mix of large and small icons on toolbars
What can you tell me about icons?,mix of large and small icons on toolbars
What can you tell me about toolbars?,mix of large and small icons on toolbars
Could you explain Mozilla Firebird?,Mozilla Firebird forgets icon size and forces small toolbar buttons
What does it mean when size?,Mozilla Firebird forgets icon size and forces small toolbar buttons
Could you explain forces?,Mozilla Firebird forgets icon size and forces small toolbar buttons
What can you tell me about toolbar buttons?,Mozilla Firebird forgets icon size and forces small toolbar buttons
How would you describe Bookmarks?,Bookmarks display exceeds toolbar display area.
Could you explain toolbar display area?,Bookmarks display exceeds toolbar display area.
Could you explain [ Cust ]?,"[Cust] Closing the toolbars customisation window without clicking on ""Done"""
Could you explain toolbars customisation window?,"[Cust] Closing the toolbars customisation window without clicking on ""Done"""
How would you describe Done?,"[Cust] Closing the toolbars customisation window without clicking on ""Done"""
Could you explain F3?,Typeahead find + F3 doesn't find next
What can you tell me about Ca?,Can't delete bookmark using popup menu
Could you explain menu?,Can't delete bookmark using popup menu
What does it mean when Delete?,Delete searchplugins dir
How would you describe Bookmark Separators Misplaced?,Bookmark Separators Misplaced in Sidebar
What can you tell me about Sidebar?,Bookmark Separators Misplaced in Sidebar
What can you tell me about Get?,Get rid of Tools>History
How would you describe Tools > History?,Get rid of Tools>History
How would you describe New Folder?,New Folder... button in Add Bookmark dialog is broken
How would you describe button?,New Folder... button in Add Bookmark dialog is broken
How would you describe Add Bookmark dialog?,New Folder... button in Add Bookmark dialog is broken
What does it mean when folders?,can't create or manage folders
What can you tell me about Phoenix?,Phoenix does't open a new POPUP Window
What does it mean when POPUP Window?,Phoenix does't open a new POPUP Window
How would you describe Customize Toolbar panel?,Customize Toolbar panel doesn't launch prperly with Modern Theme
How would you describe Theme?,Customize Toolbar panel doesn't launch prperly with Modern Theme
What can you tell me about version info?,"phoenix.exe version info lists application as ""Mozilla"""
How would you describe application?,"phoenix.exe version info lists application as ""Mozilla"""
What does it mean when Mozilla?,"phoenix.exe version info lists application as ""Mozilla"""
What does it mean when Customize Toolbar crashes Phoenix?,Customize Toolbar crashes Phoenix
How would you describe tag MAILTO?,tag MAILTO not supported
How would you describe bookmarks manager?,bookmarks manager doesn't show groupmark icons
Could you explain icons?,bookmarks manager doesn't show groupmark icons
What does it mean when Phoenix?,"Phoenix gives ""connection failure"
What does it mean when connection failure?,"Phoenix gives ""connection failure"
What does it mean when [ cust ] customize dialog?,[cust] customize dialog doesn't appear menubar inactive
What can you tell me about menubar?,[cust] customize dialog doesn't appear menubar inactive
What can you tell me about Ca?,Can't create a separate toolbar configuration for full screen mode
What does it mean when toolbar configuration?,Can't create a separate toolbar configuration for full screen mode
What can you tell me about screen mode?,Can't create a separate toolbar configuration for full screen mode
What does it mean when Search box?,Search box should have distinct icons for each type of search
How would you describe icons?,Search box should have distinct icons for each type of search
What does it mean when type?,Search box should have distinct icons for each type of search
What does it mean when search?,Search box should have distinct icons for each type of search
What does it mean when context menus?,Put back in all context menus (including images)
What does it mean when images?,Put back in all context menus (including images)
What can you tell me about Exit?,remove Exit from File menu and replace with Close
Could you explain File menu?,remove Exit from File menu and replace with Close
What can you tell me about Close?,remove Exit from File menu and replace with Close
What does it mean when [ cust ] Need 'Remove?,[cust] Need 'Remove (user-added) Toolbar' option
What can you tell me about Toolbar?,[cust] Need 'Remove (user-added) Toolbar' option
What can you tell me about option?,[cust] Need 'Remove (user-added) Toolbar' option
What can you tell me about bookmark folders?,I cannot export individual bookmark folders in Bookmark manager.
Could you explain Bookmark manager?,I cannot export individual bookmark folders in Bookmark manager.
What can you tell me about search?,The search for your bug results box is black
What can you tell me about bug results box?,The search for your bug results box is black
What can you tell me about news stories?,Unable to display news stories correctly
Could you explain page?,Text running off page
Could you explain Moz ] Make Export / Import specific?,[Moz] Make Export / Import specific to the managed folder
What does it mean when folder?,[Moz] Make Export / Import specific to the managed folder
Could you explain tabs?,"Selecting ""grouped"" tabs saved as a bookmark from menu replicates tab set"
Could you explain bookmark?,"Selecting ""grouped"" tabs saved as a bookmark from menu replicates tab set"
What does it mean when menu replicates?,"Selecting ""grouped"" tabs saved as a bookmark from menu replicates tab set"
What does it mean when Keyboard weirdness?,Keyboard weirdness when editing forms
What can you tell me about forms?,Keyboard weirdness when editing forms
What does it mean when pref?,useragent pref in all.js messes up Yahoo!
What can you tell me about all.js messes?,useragent pref in all.js messes up Yahoo!
What can you tell me about Phoenix?,When Phoenix is checking for default browser NO is missing from the button
What does it mean when default browser NO?,When Phoenix is checking for default browser NO is missing from the button
Could you explain button?,When Phoenix is checking for default browser NO is missing from the button
What does it mean when Crash?,Crash when moving splitter in sidebar
What does it mean when sidebar?,Crash when moving splitter in sidebar
How would you describe problems?,problems with loading sites
What can you tell me about sites?,problems with loading sites
What does it mean when textboxes?,Slow to focus autocomplete textboxes
Could you explain resizer?,resizer visible when maximized
Could you explain creation?,Cancelling a creation of new bookmark folder still leaves a folder called New Folder
Could you explain bookmark folder?,Cancelling a creation of new bookmark folder still leaves a folder called New Folder
Could you explain folder?,Cancelling a creation of new bookmark folder still leaves a folder called New Folder
How would you describe New Folder?,Cancelling a creation of new bookmark folder still leaves a folder called New Folder
What can you tell me about Moz ] JavaScript error?,[Moz] JavaScript error when hitting Cancel in Add Bookmark dialog
Could you explain Cancel?,[Moz] JavaScript error when hitting Cancel in Add Bookmark dialog
What does it mean when Add Bookmark dialog?,[Moz] JavaScript error when hitting Cancel in Add Bookmark dialog
What does it mean when Expand?,Choosing Expand on PT produces JavaScript error
Could you explain PT?,Choosing Expand on PT produces JavaScript error
What does it mean when JavaScript error?,Choosing Expand on PT produces JavaScript error
Could you explain window?,"""Opens a new window"" toolbar button has incorrect tooltip"
What does it mean when toolbar button?,"""Opens a new window"" toolbar button has incorrect tooltip"
What can you tell me about tooltip?,"""Opens a new window"" toolbar button has incorrect tooltip"
